fecha,datos
1,867074
2,873979
3,881085
4,888735
5,896610
6,905106
7,913227
8,921674
9,930243
10,938010
11,943025
12,949086
13,955909
14,964281
15,971298
16,978499
17,984810
18,993066
19,1000627
20,1009197
21,1017869
22,1026638
23,1034812
24,1043979
25,1052145
26,1060862
27,1072049
28,1082078
29,1093111
30,1102248
31,1112183
32,1118319
33,1127011
34,1136904
35,1146660
36,1155374
37,1162814
38,1167990
39,1175602
40,1184253
41,1192939
42,1201624
43,1209931
44,1217673
45,1224144
46,1230055
47,1236930
48,1244417
49,1252371
50,1259420
51,1267344
52,1273906
53,1281421
54,1289918
55,1299414
56,1309437
57,1318540
58,1327303
59,1335733
60,1343719
61,1353016
62,1362249
